source_file,category,category_label,type_id,type_label,type_count,wcag_criteria,wcag_level,pour_dimensions,sr_relevance,instance_index,hidden,description,label
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,1,true,Empty link 1,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,2,true,Empty link 2,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,3,true,Empty link 3,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,4,true,Empty link 4,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,5,true,Empty link 5,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,6,true,Empty link 6,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,7,true,Empty link 7,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,8,true,Empty link 8,Empty link
1-GovernoDigital.html,error,Errors,link_empty,Empty link,9,,,,,9,true,Empty link 9,Empty link
1-GovernoDigital.html,error,Errors,aria_reference_broken,Broken ARIA reference,2,4.1.2,A,Robust,critical,1,false,Broken ARIA reference 1,Broken ARIA reference
1-GovernoDigital.html,error,Errors,aria_reference_broken,Broken ARIA reference,2,4.1.2,A,Robust,critical,2,false,Broken ARIA reference 2,Broken ARIA reference
1-GovernoDigital.html,alert,Alerts,alt_suspicious,Suspicious alternative text,2,1.1.1,A,Perceivable,high,1,false,Suspicious alternative text 1,Suspicious alternative text
1-GovernoDigital.html,alert,Alerts,alt_suspicious,Suspicious alternative text,2,1.1.1,A,Perceivable,high,2,false,Suspicious alternative text 2,Suspicious alternative text
1-GovernoDigital.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,1,,,,,1,false,A nearby image has the same alternative text 1,A nearby image has the same alternative text
1-GovernoDigital.html,alert,Alerts,alt_long,Long alternative text,2,1.1.1,A,Perceivable,medium,1,false,Long alternative text 1,Long alternative text
1-GovernoDigital.html,alert,Alerts,alt_long,Long alternative text,2,1.1.1,A,Perceivable,medium,2,false,Long alternative text 2,Long alternative text
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,1,true,Redundant link 1,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,2,false,Redundant link 2,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,3,false,Redundant link 3,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,4,false,Redundant link 4,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,5,false,Redundant link 5,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,6,false,Redundant link 6,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,7,false,Redundant link 7,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,8,true,Redundant link 8,Redundant link
1-GovernoDigital.html,alert,Alerts,link_redundant,Redundant link,9,2.4.4,A,Operable,medium,9,true,Redundant link 9,Redundant link
1-GovernoDigital.html,alert,Alerts,link_pdf,Link to PDF document,2,2.4.4,A,Operable;Understandable,medium,1,true,Link to PDF document 1,Link to PDF document
1-GovernoDigital.html,alert,Alerts,link_pdf,Link to PDF document,2,2.4.4,A,Operable;Understandable,medium,2,true,Link to PDF document 2,Link to PDF document
1-GovernoDigital.html,alert,Alerts,noscript,Noscript element,2,4.1.2,A,Robust,medium,1,true,Noscript element 1,Noscript element
1-GovernoDigital.html,alert,Alerts,noscript,Noscript element,2,4.1.2,A,Robust,medium,2,true,Noscript element 2,Noscript element
1-GovernoDigital.html,alert,Alerts,accesskey,Accesskey,5,2.1.4,A,Operable,medium,1,false,Accesskey 1,Accesskey
1-GovernoDigital.html,alert,Alerts,accesskey,Accesskey,5,2.1.4,A,Operable,medium,2,false,Accesskey 2,Accesskey
1-GovernoDigital.html,alert,Alerts,accesskey,Accesskey,5,2.1.4,A,Operable,medium,3,false,Accesskey 3,Accesskey
1-GovernoDigital.html,alert,Alerts,accesskey,Accesskey,5,2.1.4,A,Operable,medium,4,false,Accesskey 4,Accesskey
1-GovernoDigital.html,alert,Alerts,accesskey,Accesskey,5,2.1.4,A,Operable,medium,5,false,Accesskey 5,Accesskey
1-GovernoDigital.html,alert,Alerts,text_small,Very small text,1,,,,,1,true,Very small text 1,Very small text
1-GovernoDigital.html,alert,Alerts,youtube_video,YouTube video,7,1.2.2,A,Perceivable,medium,1,false,YouTube video 1,YouTube video
1-GovernoDigital.html,alert,Alerts,youtube_video,YouTube video,7,1.2.2,A,Perceivable,medium,2,false,YouTube video 2,YouTube video
1-GovernoDigital.html,alert,Alerts,youtube_video,YouTube video,7,1.2.2,A,Perceivable,medium,3,false,YouTube video 3,YouTube video
1-GovernoDigital.html,alert,Alerts,youtube_video,YouTube video,7,1.2.2,A,Perceivable,medium,4,false,YouTube video 4,YouTube video
1-GovernoDigital.html,alert,Alerts,youtube_video,YouTube video,7,1.2.2,A,Perceivable,medium,5,true,YouTube video 5,YouTube video
1-GovernoDigital.html,alert,Alerts,youtube_video,YouTube video,7,1.2.2,A,Perceivable,medium,6,false,YouTube video 6,YouTube video
1-GovernoDigital.html,alert,Alerts,youtube_video,YouTube video,7,1.2.2,A,Perceivable,medium,7,true,YouTube video 7,YouTube video
1-GovernoDigital.html,feature,Features,alt,Alternative text,1,1.1.1,A,Perceivable,positive,1,false,Alternative text 1,Alternative text
1-GovernoDigital.html,feature,Features,alt_null,Null or empty alternative text,1,,,,,1,true,Null or empty alternative text 1,Null or empty alternative text
1-GovernoDigital.html,feature,Features,alt_link,Linked image with alternative text,12,1.1.1,A,Perceivable,positive,1,false,Linked image with alternative text 1,Linked image with alternative text
